,en,es,fr,id,jp,th,vi,zh,tr
InputVisitorInfo,Input Visitor Info,Información del visitante de entrada,Informations sur les visiteurs d'entrée,Masukkan Info Pengunjung,ビジター情報,ข้อมูลผู้เข้าชมป้อนข้อมูล,Nhập thông tin khách truy cập,輸入訪客資訊,Ziyaretçi Bilgilerini Girin
Insert,Insert,Insertar,Insérer,Masukan,追加,แทรก,Chèn,加入,Sokmak
Intercom,Intercom,Intercomunicador,Interphone,Interkom,インターコム,อินเตอร์คอม,Liên lạc nội bộ,門禁對講機,İnterkom
InvalidBreakTime,The working time must be greater than 0 (scheduled clock-out time - scheduled clock-in time - break time),El tiempo de trabajo debe ser mayor que 0 (hora de salida programada - hora de entrada programada - tiempo de descanso),Le temps de travail doit être supérieur à 0 (temps d'horloge prévu - temps d'horloge prévu - temps de pause),Waktu kerja harus lebih besar dari 0 (jadwal waktu keluar - jadwal waktu masuk - waktu istirahat),労働時間は 0 より大きくなければなりません (予定退勤時間 - 予定出勤時間 - 休憩時間),เวลาทำงานจะต้องมากกว่า 0 (เวลานาฬิกาตามกำหนดเวลา - เวลานาฬิกาที่กำหนดเวลา - เวลาพัก),Thời gian làm việc phải lớn hơn 0 (thời gian tan làm định trước - thời gian vào làm định trước - thời gian nghỉ giải lao),上班時間必須大於0（表定下班時間 - 表定上班時間 - 休息時間）,Çalışma süresi 0'dan büyük olmalıdır (planlanan çıkış saati - planlanan giriş saati - mola süresi)
InvalidEmailFormat,Invalid format,Formato inválido,Format invalide,Format tidak valid,無効な形式,รูปแบบไม่ถูกต้อง,Định dạng không hợp lệ,格式不正確,Geçersiz biçim
InvalidIPAddressFormat,Invalid format,Formato inválido,Format invalide,Format tidak valid,無効な形式,รูปแบบไม่ถูกต้อง,Định dạng không hợp lệ,格式不正確,Geçersiz biçim
InvalidJSON,Invalid JSON,JSON no válido,JSON non valide,JSON tidak valid,無効JSONタイプ,JSON ไม่ถูกต้อง,JSON không hợp lệ,無效JSON格式,Geçersiz JSON
InvalidOvertime,The overtime start time cannot be earlier than the scheduled clock-out time,La hora de inicio de tiempo extra no puede ser anterior a la hora programada de tiempo.,L'heure de début des heures supplémentaires ne peut pas être plus tôt que l'heure d'horloge prévue,Waktu mulai lembur tidak boleh lebih awal dari waktu keluar yang dijadwalkan,残業の開始時刻は、予定された退勤時刻より早くすることはできません,เวลาเริ่มต้นการทำงานล่วงเวลาไม่สามารถเร็วกว่าเวลาปิดนาฬิกาที่กำหนด,Thời gian bắt đầu tăng ca không được sớm hơn thời gian tan làm định trước,加班開始時間不能早於表定下班時間,"Uzatma başlangıç ​​saati, planlanan çıkış saatinden daha erken olamaz"
InvalidQueryString,Invalid QueryString,Consulta no válida,Requêtes non valides,String Kueri tidak valid,無效QueryStringタイプ,Querystring ไม่ถูกต้อง,Chuỗi truy vấn không hợp lệ,無效QueryString格式,Geçersiz Sorgu Dizesi
InvalidURL,Invalid URL,URL invalida,URL invalide,URL tidak valid,無效URLタイプ,URL ไม่ถูกต้อง,URL không hợp lệ,無效URL格式,Geçersiz URL
InvalidWorkDuration,Scheduled clock-out time must be later than scheduled clock-in time,La hora de salida programada debe ser posterior a la hora de entrada programada,L'heure d'horloge prévue doit être plus tard que l'heure prévue de l'horloge,Waktu keluar yang dijadwalkan harus lebih lambat dari waktu masuk yang dijadwalkan,予定退勤時間は予定出勤時間より遅くする必要があります,เวลานาฬิกาที่กำหนดเวลาจะต้องช้ากว่าเวลานาฬิกาที่กำหนด,Thời gian tan làm phải muộn hơn thời gian vào làm định trước,表定下班時間需晚於表定上班時間,"Planlanan çıkış saati, planlanan giriş saatinden sonra olmalıdır"
InvalidXML,Invalid XML,XML inválido,XML non valide,XML tidak valid,無効XMLタイプ,XML ไม่ถูกต้อง,XML không hợp lệ,無效XML格式,Geçersiz XML
Investigation,Investigation,Investigación,Enquête,Investigasi,調査,การสืบสวน,Cuộc điều tra,調查,Soruşturma
IpAddress,IP Address,Dirección IP,Adresse IP,Alamat IP,IPアドレス,ที่อยู่ IP,Địa chỉ IP,IP 位址,IP Adresi
IsHighTemperature,IsHighTemperature,Temperatura alto,IshightHeterture,Adalah Suhu Tinggi,温度異常,ishightemperature,Nhiệt độ cao,温度過高,Yüksek Sıcaklık
IsStranger,Stranger,Extraño,Étranger,Orang Asing,ストレンジャ,คนแปลกหน้า,Người lạ,陌生人,Yabancı
JSON,JSON,JSON,JSON,JSON,JSON,JSON,JSON,JSON,JSON
JSONType,JSON Format,Formato json,Format JSON,Format JSON,JSON タイプ,รูปแบบ JSON,Định dạng JSON,JSON 格式,JSON Biçimi
JobTitle,Job Title,Título profesional,Titre d'emploi,Pekerjaan,タイトル,ตำแหน่งงาน,Chức danh,職稱,İş unvanı
Keyword,Keyword,Palabra clave,Mot-clé,Kata kunci,フィルター,คำสำคัญ,Từ khóa,關鍵字,Anahtar kelime
KeywordName,Name,Nombre,Nom,Nama,キーワード,ชื่อ,Tên,姓名,İsim
LARGE,Large (1080p),Grande (1080p),Grand (1080p),Besar (1080p),大 (1080p),ใหญ่ (1080p),Lớn (1080p),大 (1080p),Büyük (1080p)
LanSettings,LAN Settings,Configuración de LAN,Paramètres lan,Pengaturan LAN,LAN設定,การตั้งค่า LAN,Cài đặt mạng LAN,有線網路設定,LAN Ayarları
LastMonth,Last Month,El mes pasado,Le mois dernier,Bulan lalu,先月,เดือนที่แล้ว,Tháng trước,上月,Geçen ay
LatePerson,Late,Tarde,En retard,Terlambat,遅刻,ช้า,Muộn,遲到,Geç
LeaveEarly,Leave Early,Irse temprano,Partir tôt,Keluar Lebih Awal,早退,ออกก่อน,Về sớm,早退,Erken Ayrıl
Level,Level,Nivel,Niveau,Level,レベル,ระดับ,Mức độ,等級,Seviye
License,License,Licencia,Licence,Lisensi,ライセンス,ใบอนุญาต,Giấy phép,授權,Lisans
LicenseKey,License key,Clave de licencia,Clé de licence,Kunci lisensi,ライセンスキー,รหัสใบอนุญาต,Mã bản quyền,授權碼,Lisans anahtarı
LicenseManagement,License management,Gestión de licencias,Gestion des licences,Manajemen lisensi,ライセンス管理,การจัดการใบอนุญาต,Quản lý Giấy phép,授權管理,Lisans yönetimi
LineAccessToken,LINE Channel access token,Token de Acceso a LINE,Jeton d'accès à canal de ligne,Token akses LINE,LINE アクセストークン,โทเค็นการเข้าถึงช่องทางสาย,Mã thông báo truy cập LINE,LINE 聊天室權杖,LINE Kanal erişim belirteci
LineGroupId,LINE Channel Group Id,Id. del grupo de canales de LINE,ID du groupe de canaux LINE,ID Grup Saluran LINE,LINEチャンネルグループID,กลุ่มไลน์ไอดี,ID nhóm kênh LINE,LINE 通知群組,LINE Kanal Grup Kimliği
LineNotify,LINE Notification,Notificación por LINE,Notification de ligne,Notifikasi LINE,LINE 通知,การแจ้งเตือนสาย,Thông báo LINE,LINE 通知,HAT Bildirimi
LineNotifyManagement,Line Notification,Notificación de línea,Notification de ligne,Notifikasi Line,ライン通知,การแจ้งเตือนสาย,Thông báo LINE,Line 通知管理,Hat Bildirimi
Linked,Connected,Conectado,Connecté,Terkoneksi,接続済み,ซึ่งเชื่อมต่อกัน,Đã kết nối,已連線,Bağlı
Login,Login,Iniciar sesión,Se connecter,Masuk,ログイン,เข้าสู่ระบบ,Đăng nhập,登入,Giriş yapmak
LoginPassword,Password,Contraseña,Mot de passe,Kata sandi,パスワード,รหัสผ่าน,Mật khẩu,密碼,Şifre
LoginSubtitle,Sign in to your account,Iniciar sesión en su cuenta,Connectez-vous à votre compte,masuk ke akun Anda,アカウント情報入力,ลงชื่อเข้าใช้บัญชีของคุณ,Đăng nhập vào tài khoản của bạn,登入您的使用者帳號,Hesabınıza giriş yapın
LoginTitle,Login,Iniciar sesión,Se connecter,Masuk,ログイン,เข้าสู่ระบบ,Đăng nhập,登入,Giriş yapmak
LoginUsername,Username,Nombre de usuario,Nom d'utilisateur,Nama pengguna,ユーザー名,ชื่อผู้ใช้,Tên tài khoản,使用者,Kullanıcı adı
Logo,Logo,Logotipo,Logo,Logo,ロゴ,โลโก้,Logo,商標,Logo
Logout,Logout,Cerrar sesión,Se déconnecter,Keluar,ログアウト,ออกจากระบบ,Đăng xuất,登出,Çıkış Yap
LostConnection,Lost Connection,Conexión perdida,Connexion perdue,Koneksi Putus,接続が切れた,การเชื่อมต่อที่หายไป,Mất kết nối,失去連線,Bağlantı Kaybı
MAC,MAC,MAC,MAC,MAC,MAC,MAC,MAC,MAC,MAC
MailNotify,Mail Notification,Notificación de correo,Notification par courrier,Notifikasi Mail,メール通知,การแจ้งเตือนทางไปรษณีย์,Thông báo qua thư,郵件通知,Posta Bildirimi
MailNotifyManagement,Mail Notification,Notificación de correo,Notification par courrier,Notifikasi Mail,メール通知を管理,การแจ้งเตือนทางไปรษณีย์,Thông báo qua thư,郵件通知,Posta Bildirimi
MaintainDiskSpace,Maintain Disk Space (GB),Mantener espacio en disco (GB),Conserver l'espace disque (Go),Pertahankan Ruang Disk (GB),ディスク容量の維持 (GB),รักษาพื้นที่ดิสก์ (GB),Duy trì dung lượng ổ đĩa (GB),資料硬碟保存容量 (GB),Disk Alanını Koru (GB)
Maintitle,Main Title,Titulo principal,Titre principal,Judul Utama,メインタイトル,ชื่อหลัก,Tiêu đề chính,主標題,Ana Başlık
MaxFileSize,Max File Size,Tamaño máximo de archivo,Taille du fichier maximum,Ukuran File Maks,最大サイズ,ขนาดไฟล์สูงสุด,Kích thước tệp tối đa,大於限制大小,Maksimum Dosya Boyutu
Medium,Medium,Medio,,,中,ปานกลาง,,中,Orta
MenuAttendanceBoard,Attendance Board,Concentración de asistencia,Comité de fréquentation,Papan Kehadiran,出席ボード,คณะกรรมการเข้าร่วม,Bảng chấm công,點名看板,Katılım Kurulu
MenuAttendanceBoardSettings,Attendance Board,Concentración de asistencia,Comité de fréquentation,Papan Kehadiran,出席ボードのセッティング,คณะกรรมการเข้าร่วม,Bảng chấm công,點名看板,Katılım Kurulu
MenuOccupancyBoard,Occupancy Board,Junta de ocupación,Comité d'occupation,Papan Okupansi,占有ボード,บอร์ด,Bảng chiếm dụng,容留看板,İşgal Kurulu
MenuOccupancyBoardSettings,Occupancy Board,Junta de ocupación,Comité d'occupation,Papan Okupansi,占有ボード設定,บอร์ด,Bảng chiếm dụng,容留看板,İşgal Kurulu
MergeDuration,Merge Duration (ms),Duración de la fusión (ms),Durée de fusion (ms),Durasi Penggabungan (md),マージ期間 (ミリ秒),รวมระยะเวลา (มิลลิวินาที),Thời lượng hợp nhất (ms),合併時長 (毫秒),Birleştirme Süresi (ms)
MergeScore,Merge Score,Fusionar puntuación,Fusionner le score,Penggabungan Skor,マージスコア,รวมคะแนน,Điểm Hợp nhất,合併分數,Birleştirme Puanı
Method,Method,Método,Méthode,Metode,方法,วิธี,Phương pháp,方法,Yöntem
Modify,Modify,Modificar,Modifier,Modifikasi,編集,แก้ไข,Điều chỉnh,編輯,Değiştir
ModifyAccessControl,Modify Access Control,Modificar el control de acceso,Modifier le contrôle d'accès,Ubah Akses Kontrol,アクセスコントロール編集,ปรับเปลี่ยนการควบคุมการเข้าถึง,Sửa đổi kiểm soát truy cập,編輯門禁,Erişim Kontrolünü Değiştir
ModifyCapacityControl,Attendance Board Settings,Configuración de Panel de Asistencia,Paramètres du conseil d'assistance,Pengaturan Papan Kehadiran,出席ボードの設定,การตั้งค่าคณะกรรมการเข้าร่วม,Cài đặt bảng chấm công,設定登記出勤,Katılım Kurulu Ayarları
ModifyEventControl,Modify Event,Modificar evento,Modifier l'événement,Modifikasi Event,イベントを変更する,แก้ไขเหตุการณ์,Sửa đổi sự kiện,修改事件,Olayı Değiştir
ModifyGroup,Modify Group,Modificar grupo,Modifier le groupe,Modifikasi Grup,グループ編集,แก้ไขกลุ่ม,Sửa đổi nhóm,修改群組,Grubu Değiştir
ModifyPerson,Modify Person,Modificar a la persona,Modifier la personne,Modifikasi Orang,パーソン編集,ปรับเปลี่ยนบุคคล,Sửa đổi người,修改人員,Kişiyi Değiştir
ModifyVisitor,Modify Visitor,Modificar el visitante,Modifier un visiteur,Modifikasi Pengunjung,ビジター編集,ปรับเปลี่ยนผู้เยี่ยมชม,Sửa đổi khách truy cập,修改訪客,Ziyaretçiyi Değiştir
ModifyWelcomeControl,Welcome Board Settings,Configuración de Panel de Bienvenida,Paramètres de la carte de bienvenue,Pengaturan Papan Selamat Datang,ウェルカムボードの設定,การตั้งค่าคณะกรรมการต้อนรับ,Cài đặt bảng chào mừng,迎賓看板設定,Hoş Geldiniz Panosu Ayarları
Mon,Mon,Lun,Lun,Sen,月,จอน,Thứ hai,一,Pazartesi
MonthlyAttendanceStatus,Monthly Status,Estado mensual,Statut mensuel,Status Bulanan,月次ステータス,สถานะรายเดือน,Trạng thái hàng tháng,當月出勤狀態,Aylık Durum
MoreThan4lettersAndNumbers,"At least 4 alphanumeric characters, and must not be duplicated with other person IDs.","Al menos 4 personajes alfanuméricos, y no deben duplicarse con otras identificaciones de persona.",Au moins 4 caractères alphanumériques et ne doivent pas être dupliqués avec d'autres ID de personne.,"Minimal 4 karakter alfanumerik, dan tidak boleh terduplikasi dengan ID orang lain.",最低4文字の英数字で、他の従業員番号と重複していてはいけません。,อย่างน้อย 4 ตัวอักษรตัวอักษรและตัวเลขและต้องไม่ซ้ำกับรหัสบุคคลอื่น,Ít nhất 4 ký tự chữ và số và không được trùng lặp với ID người khác.,至少 4 個英數字符且不與其他人員編號重複,En az 4 alfanümerik karakter olmalı ve başka kişi kimlikleriyle kopyalanmamalıdır.
MsgVideoDeviceLicenseUsage,{0} of {1} video device (camera and tablet) licenses in use.,{0} de {1} dispositivo de video (cámara y tableta) licencias en uso.,{0} de {1} dispositif vidéo (caméra et tablette) licences utilisées.,{0} dari {1} lisensi perangkat video (kamera dan tablet) sedang digunakan.,{1}ビデオデバイス（カメラとタブレット）の使用中のライセンスの{0}。,{0} ของใบอนุญาตวิดีโอ {1} (กล้องและแท็บเล็ต) ที่ใช้งานอยู่,{0} trong số {1} giấy phép thiết bị video (camera và máy tính bảng) đang được sử dụng.,正在使用 {0} 個影像設備 (攝影機及平板) 授權 (共 {1} 個),{0} / {1} video cihazı (kamera ve tablet) lisansı kullanımda.
MssingSmtpHint,Please be sure to add SMTP settings in the 'General Settings' to ensure notifications are correctly sent via email.,Asegúrese de agregar la configuración SMTP en la 'Configuración general' para garantizar que las notificaciones se envíen correctamente por correo electrónico.,Assurez-vous d'ajouter les paramètres SMTP dans les « Paramètres généraux » pour garantir que les notifications sont correctement envoyées par e-mail.,Pastikan untuk menambahkan pengaturan SMTP di 'Pengaturan Umum' untuk memastikan notifikasi dikirim dengan benar melalui email.,通知が正しく電子メールで送信されるように、「一般設定」にSMTP設定を追加してください。,โปรดอย่าลืมเพิ่มการตั้งค่า SMTP ใน 'การตั้งค่าทั่วไป' เพื่อให้แน่ใจว่าการแจ้งเตือนจะถูกส่งผ่านทางอีเมลอย่างถูกต้อง,Hãy đảm bảo thêm cài đặt SMTP trong 'Cài đặt chung' để đảm bảo thông báo được gửi chính xác qua email.,請務必在「一般設定」中加入SMTP設定，以確保通知能夠透過郵件正確發送。,Bildirimlerin e-posta yoluyla doğru şekilde gönderilmesini sağlamak için lütfen 'Genel Ayarlar' bölümüne SMTP ayarlarını eklediğinizden emin olun.
Netmask,Subnet Mask,Máscara de subred,Masque de sous-réseau,Subnet Mask,ネットマスク,หน้ากากซับเน็ต,Mặt nạ mạng con,子網路遮罩,Alt ağ maskesi
NetworkLoss,Network Loss,Pérdida de red,Perte de réseau,Jaringan Putus,ネットワーク未接続,การสูญเสียเครือข่าย,Mất mạng,連線失敗,Ağ Kaybı
NetworkSettings,Network Settings,Configuración de la red,Paramètres réseau,Pengaturan jaringan,ネットワーク設定,การตั้งค่าเครือข่าย,Thiết lập mạng lưới,網路設定,Ağ Ayarları
NewDeviceGroups,Add output device group,Agregar grupo de dispositivos de salida,Ajouter un groupe de périphériques de sortie,Tambah output grup perangkat,出力デバイスグループを追加します,เพิ่มกลุ่มอุปกรณ์เอาต์พุต,Thêm nhóm thiết bị đầu ra,新增輸出設備群組,Çıkış aygıtı grubu ekle
NewPassword,New Password,Nueva contraseña,nouveau mot de passe,Kata sandi Baru,新しいパスワード,รหัสผ่านใหม่,Mật khẩu mới,新密碼,Yeni Şifre
NewVideoDeviceGroups,Video device groups,Grupos de dispositivos de video,Groupes d'appareils vidéo,Grup perangkat video,ビデオデバイスグループ,กลุ่มอุปกรณ์วิดีโอ,Nhóm thiết bị video,影像設備群組,Video aygıt grupları
Next,Next,Próximo,Suivant,Berikutnya,次,ต่อไป,Kế tiếp,下一步,Sonraki
No,No,No,Non,TIDAK,いいえ,เลขที่,Không,否,HAYIR
NoCardMsg,There is no card no.,No hay tarjeta no.,Il n'y a pas de numéro de carte.,Tidak ada no kartu.,カード番号はありません。,ไม่มีหมายเลขบัตร,Không có  số thẻ.,查無卡號,Kart numarası bulunmamaktadır.
NoEmptyInRange,"Cannot be empty, must be in range ($1)","No puede estar vacío, debe estar en el rango ($1)","Ne peut pas être vide, doit être à portée ($1)","Tidak boleh kosong, harus dalam rentang ($1)",空白にすることはできません、範囲内でなければなりません（$1）,ไม่สามารถว่างเปล่าต้องอยู่ในช่วง ($1),"Không được để trống, phải nằm trong phạm vi ($1)",不能為空，必須在範圍內 ($1),"Boş olamaz, aralıkta olmalı ($1)"
NoEmptyNoSpace,Cannot be empty or blank.,No puede estar vacío o en blanco.,Ne peut pas être vide ou vide.,Tidak boleh kosong.,空または空白にすることはできません,ไม่สามารถว่างเปล่าหรือว่างเปล่า,Không thể để trống.,不能為空或空白,Boş veya boş olamaz.
NoEmptyNoSpaceNoSpecial,"Cannot be empty nor included spaces, special characters.","No puede estar vacío ni espacios incluidos, caracteres especiales.","Ne peut pas être vide ni inclus des espaces, des caractères spéciaux.","Tidak boleh kosong atau disertakan spasi, karakter khusus.",空、スペース、特殊文字は使用できません,ไม่สามารถว่างเปล่าหรือรวมถึงช่องว่างอักขระพิเศษ,"Không được để trống cũng như không được bao gồm khoảng trắng, ký tự đặc biệt.",不能為空、空格或特殊字元,"Boş veya boşluk, özel karakter içeremez."
NoEmptyNoSpaceNoSpecialRepeat,"Cannot be empty nor included spaces, special characters, cannot be duplicated","No puede estar vacío ni espacios incluidos, caracteres especiales, no se pueden duplicar","Ne peut pas être vide ni inclus des espaces, des caractères spéciaux, ne peuvent pas être dupliqués","Tidak boleh kosong atau disertakan spasi, karakter khusus, tidak boleh diduplikasi",空にも含まれたり、スペース、特殊文字を含めたりすることはできません。,ไม่สามารถว่างเปล่าหรือรวมถึงช่องว่างอักขระพิเศษไม่สามารถทำซ้ำได้,"Không được để trống, không được bao gồm khoảng trắng, ký tự đặc biệt, không được trùng lặp",不能空白、特殊字元或留空。不能重複。,"Boş olamaz, boşluklar ve özel karakterler içeremez, çoğaltılamaz"
NoEmptyNoSpaceOnly,Cannot be empty or blank.,No puede estar vacío o en blanco.,Ne peut pas être vide ou vide.,Tidak boleh kosong.,空または空白にすることはできません,ไม่สามารถว่างเปล่าหรือว่างเปล่า,Không thể để trống.,不能為空或空白,Boş veya boş olamaz.
NoEmptyNorSpaceNeigherRepeat,"Cannot be empty, cannot be duplicated","No puede estar vacío, no se puede duplicar","Ne peut pas être vide, ne peut pas être dupliqué","Tidak boleh kosong, tidak boleh diduplikasi",空にすることはできず、繰り返すこともできません,ไม่สามารถว่างเปล่าไม่สามารถทำซ้ำได้,"Không được để trống, không được trùng lặp",不能為空，不能重複,"Boş olamaz, çoğaltılamaz"
NoEmptyPortOnly,Should range from 0 to 65565,Debe variar de 0 a 65565,Devrait varier de 0 à 65565,Harus berkisar dari 0 hingga 65565,0〜65565の範囲です,ควรอยู่ในช่วงตั้งแต่ 0 ถึง 65565,Nên nằm trong khoảng từ 0 đến 65565,必須介於 0 到 65535,0 ile 65565 arasında olmalıdır
NoEntryRecord,no clock-in record,Sin registro de reloj,Pas d'enregistrement d'horloge,tidak ada catatan jam masuk,出勤記録がない,ไม่มีบันทึกนาฬิกา,Không có bản ghi bấm giờ vào làm,缺上班紀錄,giriş kaydı yok
NoInfoMsg,Information not found,Información no encontrada,Informations non trouvées,Informasi tidak ditemukan,情報が見つかりません,ไม่พบข้อมูล,Không tìm thấy thông tin,查無此人,Bilgi bulunamadı
NoLeaveRecord,no clock-out record,Sin registro de REPAYOS,Pas d'enregistrement d'horloge,tidak ada catatan jam keluar,退勤記録なし,ไม่มีบันทึกนาฬิกาออก,Không có bản ghi bấm giờ tan làm,缺下班紀錄,çıkış kaydı yok
NoRecord,No Records,No hay registros,Pas d'enregistrements,Tidak Ada Catatan,記録なし,ไม่มีบันทึก,Không có bản ghi,無打卡紀錄,Kayıt Yok
NoRepeat,No Repeat,Sin repetición,Pas de répétition,Tidak Ada Pengulangan,繰り返しなし,ไม่มีการทำซ้ำ,Không lặp lại,不可重複,Tekrar Yok
NoSpaceNeigherRepeat,Cannot be duplicated,No se puede duplicar,Ne peut pas être dupliqué,Tidak dapat diduplikasi,複製することはできません,ไม่สามารถทำซ้ำได้,Không thể trùng lặp,不能重複,Kopyalanamaz
NonAction,Event Merge,Fusión de eventos,Fusion d'événements,Penggabungan Event,イベントマージ,การรวมเหตุการณ์,Hợp nhất sự kiện,事件合併,Olay Birleştirme
NonHolidays,Non-holidays,Días no festivos,Non-vacances,Bukan hari libur,平日,ไม่ใช่วันหยุด,Không nghỉ lễ,非假日,Tatil dışı
NonVerifiedDuration,Non-Verified Data Retention (day),Retención de datos no verificados (días),Conservation des données non vérifiées (jour),Retensi Data yang Tidak Terverifikasi (hari),未検証のデータ保持 (日),การเก็บรักษาข้อมูลที่ไม่ได้รับการยืนยัน (วัน),Lưu giữ dữ liệu chưa được xác minh (ngày),陌生人資料保存時長 (天),Doğrulanmamış Veri Saklama (gün)
None,None,Ninguno,Aucun,Tidak ada,なし,ไม่มี,Không có,不顯示,Hiçbiri
Normal,Normal,Normal,Normale,Normal,通常,ปกติ,Bình thường,正常,Normal
NormalTemperatureOnly,Normal Temperature Only,Temperatura normal solamente,Température normale uniquement,Hanya Suhu Normal,溫度正常時時のみ,อุณหภูมิปกติเท่านั้น,Chỉ nhiệt độ bình thường,僅有溫度正常時,Sadece Normal Sıcaklık
NotLinked,Not Connected,No conectado,Pas connecté,Tidak terkoneksi,接続されていません,ไม่ได้เชื่อมต่อ,Không kết nối,未連線,Bağlantılı değil
Note,Note,Nota,Note,Catatan,注記,บันทึก,Ghi chú,備註,Not
NotificationHttp,HTTP Command,Comando http,Commande http,Perintah HTTP,HTTPコマンド,คำสั่ง http,Lệnh HTTP,HTTP 指令,HTTP Komutu
NotificationInfo,Notification Info,Información de notificación,Informations sur la notification,Informasi Notifikasi,通知情報,ข้อมูลการแจ้งเตือน,Thông tin thông báo,通知資訊,Bildirim Bilgileri
NotificationLine,Line Notification,Notificación de línea,Notification de ligne,Notifikasi Line,ライン通知,การแจ้งเตือนสาย,Thông báo LINE,Line 通知,Hat Bildirimi
NotificationMail,Mail Notification,Notificación de correo,Notification par courrier,Notifikasi Mail,メール通知,การแจ้งเตือนทางไปรษณีย์,Thông báo qua thư,郵件通知,Posta Bildirimi
Notifications,Notifications,Notificaciones,Notifications,Notifikasi,通知,การแจ้งเตือน,Thông báo,通知,Bildirimler
NotifyName,Notify Name,Notificar el nombre,Informer le nom,Notifikasi Nama,名前を通知します,แจ้งชื่อ,Tên thông báo,通知名稱,Bildiri Adı
NtpServer,NTP Server,Servidor NTP,Serveur NTP,Server NTP,NTPサーバー,เซิร์ฟเวอร์ NTP,Máy chủ NTP,時間伺服器,NTP Sunucusu
NumberOfDisplayPersons,Number of people,Número de personas,Nombre de personnes,Jumlah orang,人数を表示,จำนวนคน,Số lượng người,顯示人數,Kişi sayısı
NumberOfPersonInGroup,Persons,Personas,Personnes,orang,グループ内の人数,บุคคล,Người,人員數量,Kişiler
NumberOfVisitorInGroup,Visitors,Visitantes,Visiteurs,Pengunjung,グループ内のビジター,ผู้เยี่ยมชม,Khách,訪客數量,Ziyaretçiler
NumbersOnly,Numbers Only,Solo numeros,Chiffres uniquement,Hanya Angka,数字が必要,ตัวเลขเท่านั้น,Chỉ có số,僅能使用數字,Sadece Sayılar
NumbersOnlyIn20Bytes,Up to 20 digits,Hasta 20 dígitos,Jusqu'à 20 chiffres,Hingga 20 digit,20桁まで,สูงสุด 20 หลัก,Lên đến 20 chữ số,最多 20 位數字,20 haneye kadar
OK,OK,DE ACUERDO,VALIDE,OKE,OK,ตกลง,OK,確定,TAMAM
Occupancy,Attendance Board,Panel de Ocupación,Comité de fréquentation,Papan Kehadiran,出席ボード,คณะกรรมการเข้าร่วม,Bảng chấm công,點名看板,Katılım Kurulu
OccupancySize,Occupancy Size,Tamaño de ocupación,Taille d'occupation,Ukuran Okupansi,表示,ขนาดการเข้าพัก,Kích thước chiếm dụng,每頁人數,Doluluk Boyutu
OperationFailed,Operation Failed,Operación fallida,L'opération a échoué,Operasi Gagal,操作失敗,การดำเนินการล้มเหลว,Lỗi hệ thống,操作失敗,İşlem Başarısız Oldu
Other,Other,Otro,Autre,Lainnya,他の,อื่น,Khác,其它,Diğer
OutputDevice,Output Devices,Dispositivos de salida,Des dispositifs de sortie,Output Perangkat,出力デバイス,อุปกรณ์เอาต์พุต,Thiết bị đầu ra,輸出設備,Çıkış Aygıtları
OutputDeviceGroup,Output Device Groups,Grupos de dispositivos de salida,Groupes de périphériques de sortie,Output Grup Perangkat,出力デバイスグループ,กลุ่มอุปกรณ์เอาท์พุท,Nhóm thiết bị đầu ra,輸出設備群組,Çıkış Aygıtı Grupları
OutputDeviceGroupBasicName,Add device group,Agregar grupo de dispositivos,Ajouter un groupe de périphériques,Tambahkan grup perangkat,デバイスグループを追加します,เพิ่มกลุ่มอุปกรณ์,Thêm nhóm thiết bị,影像群組名稱,Aygıt grubu ekle
OutputDeviceGroupsBasicCOlNameDeviceName,device group name,Nombre del grupo de dispositivos,Nom du groupe de périphériques,nama grup perangkat,デバイスグループ名,ชื่อกลุ่มอุปกรณ์,Tên nhóm thiết bị,設備群組名稱,cihaz grubu adı
OutputDeviceRelaysWG,Wiegand converters,Convertidores de Wiegand,Convertisseurs Wiegand,Konverter Wiegand,ウィーガンドコンバーター,ตัวแปลง Wiegand,Bộ chuyển đổi Wiegand,韋根轉換器,Wiegand dönüştürücüler
OverTemperature,Too high,Demasiado alto,Trop haut,Terlalu tinggi,異常,สูงเกินไป,Quá cao,過高,Çok yüksek
Overtime,Overtime hours,Horas extras,Heures supplémentaires,Jam lembur,残業時間,ชั่วโมงการทำงานล่วงเวลา,Giờ tăng ca,加班時數,Fazla mesai saatleri
OvertimeDays,Overtime Days,Días de tiempo extra,Journées des heures supplémentaires,Hari Lembur,残業日数,วันทำงานล่วงเวลา,Ngày tăng ca,加班天數,Fazla Mesai Günleri
